qid,imageId,question,gt_answer,blip_answer,vilt_answer,blip_exact_match,vilt_exact_match,blip_time,vilt_time,structural,semantic
03230472,2323010,Do you see either a white couch or table?,yes,table,table,False,False,2.5084,0.0812,logical,obj
10775722,2390608,Is the boy to the left or to the right of the bag the lady is with?,right,left,right,False,True,0.2244,0.0654,choose,rel
15962114,2337344,Who is sitting at the table?,boy,kids,child,False,False,0.2141,0.0604,query,rel
10775471,2390608,Which kind of animal is brown?,giraffe,giraffe,giraffe,True,True,0.2385,0.0664,query,cat
09516636,2385409,"In which part of the image is the spoon, the bottom or the top?",bottom,bottom,top,True,False,0.2221,0.0623,choose,attr
10775780,2390608,What is the woman that is to the left of the bag wearing?,sweater,jeans,jeans,False,False,0.2191,0.0681,query,rel
15962325,2337344,What is the straw in?,glass,glass,cup,True,False,0.2185,0.0609,query,rel
03230524,2323010,Are there any doors?,yes,yes,no,True,False,0.2184,0.0579,verify,obj
15962256,2337344,Is the salt shaker on a lamp?,no,no,no,True,True,0.2123,0.0587,verify,rel
10775681,2390608,Is the boy wearing jeans?,no,yes,yes,False,False,0.2079,0.0647,verify,rel
10775649,2390608,What color is the shirt?,pink,blue,blue,False,False,0.2124,0.0675,query,attr
09516658,2385409,What is the clothing item that is not thin called?,cap,apron,shirt,False,False,0.2201,0.0616,query,cat
15962222,2337344,Are there pictures or beach umbrellas in the photograph?,no,neither,no,False,True,0.2311,0.0624,logical,obj
15962144,2337344,Who is wearing a shirt?,boy,boy,boy,True,True,0.2181,0.0609,query,rel
09516570,2385409,Is the cap different in color than the apron?,yes,yes,no,True,False,0.2204,0.0613,compare,attr
03230552,2323010,Are there women or men?,yes,men,women,False,False,0.2233,0.0584,logical,obj
15962361,2337344,Is the red drink to the right or to the left of the chair?,right,right,right,True,True,0.2174,0.0614,choose,rel
10775953,2390608,Is the lady to the right or to the left of the people near the fence?,right,right,right,True,True,0.2329,0.068,choose,rel
10775406,2390608,Who is the fence in front of?,people,giraffes,giraffe,False,False,0.2559,0.0676,query,rel
15962215,2337344,The condiments are in what?,container,ketchup,ketchup,False,False,0.2419,0.0617,query,rel
15962327,2337344,Is the straw in a cup?,no,yes,no,False,True,0.2198,0.0612,verify,rel
0457840,2371271,Where is the cat looking at?,up,sky,camera,False,False,0.2559,0.0612,query,rel
10775924,2390608,On which side of the image is the lady?,left,left,right,True,False,0.2199,0.0675,query,attr
15961980,2337344,On which side of the photo is the girl?,left,left,right,True,False,0.2154,0.06,query,attr
15962574,2337344,What is the piece of furniture to the left of the salt shaker that is on the table called?,chair,table,table,False,False,0.2112,0.0601,query,rel
10775898,2390608,What's in front of the giraffe?,rock,rock,rocks,True,False,0.2112,0.064,query,rel
15962533,2337344,"What kind of furniture is made of wood, the table or the chair?",chair,table,table,False,False,0.2165,0.0619,choose,cat
0985933,2321280,Is the guy shirt white and long sleeved?,yes,yes,yes,True,True,0.2181,0.0614,logical,attr
09516657,2385409,"What type of clothing is not thin, the apron or the cap?",cap,apron,apron,False,False,0.2187,0.0615,choose,cat
10775836,2390608,Are there any blue bags?,no,yes,no,False,True,0.2173,0.0665,verify,obj
10775823,2390608,On which side of the image is the brown bag?,left,left,right,True,False,0.2162,0.0658,query,attr
15962358,2337344,Is the drink to the right of a cup?,no,yes,no,False,True,0.2138,0.0593,verify,rel
15962275,2337344,Are there both plates and forks in this picture?,yes,yes,yes,True,True,0.2103,0.0598,logical,obj
10775640,2390608,Are there either chickens or tents?,no,neither,neither,False,False,0.213,0.0646,logical,obj
06841022,2361880,Is it indoors or outdoors?,outdoors,outdoors,outdoors,True,True,0.2182,0.0687,choose,global
15962385,2337344,Does the glass on the table appear to be empty and clear?,yes,yes,no,True,False,0.221,0.061,logical,attr
15961987,2337344,Are there any girls at the table?,yes,yes,no,True,False,0.2177,0.0604,verify,rel
03230523,2323010,Is the bowl made out of aluminum or plastic?,plastic,plastic,plastic,True,True,0.2189,0.0622,choose,attr
10775934,2390608,Is the lady to the right or to the left of the boy that is to the left of the giraffe?,left,right,right,False,False,0.2208,0.0693,choose,rel
15962131,2337344,Is this boy sitting at a bed?,no,no,no,True,True,0.2207,0.0614,verify,rel
15962442,2337344,Is the plate on a tray?,no,no,no,True,True,0.2096,0.0592,verify,rel
10775539,2390608,Is this giraffe tall and white?,no,no,no,True,True,0.2093,0.0646,logical,attr
15962205,2337344,What are the spices on?,table,table,table,True,True,0.2129,0.0607,query,rel
15962147,2337344,What is the person to the right of the chair wearing?,shirt,orange shirt,shirt,False,True,0.2289,0.0617,query,rel
15962111,2337344,Is the boy to the left or to the right of the plate?,right,right,right,True,True,0.2181,0.0621,choose,rel
03230497,2323010,What color is the table?,white,white,white,True,True,0.2278,0.0603,query,attr
10775606,2390608,Is the giraffe to the right or to the left of the fence that is in front of the people?,right,right,right,True,True,0.2165,0.0671,choose,rel
15962527,2337344,What item of furniture is made of wood?,chair,table,table,False,False,0.2237,0.0589,query,cat
10775570,2390608,Is there an airplane in front of the bare trees?,no,no,no,True,True,0.2102,0.0635,verify,rel
10775483,2390608,Is the brown animal on the right?,yes,yes,yes,True,True,0.2098,0.0643,verify,attr
