detailed_type,count,structural
relS,13268,query
categoryRelS,12033,query
relO,11993,query
positionQuery,6502,query
relChooser,5327,choose
directOf,4418,query
positionChoose,4357,choose
categoryThat,4117,query
directWhich,3908,query
relVerify,3885,verify
existRelS,3809,verify
chooseAttr,3677,choose
existOr,3109,logical
relVerifyCo,3046,verify
existOrC,3026,logical
existRelSC,2742,verify
categoryRelO,2579,query
place,2302,query
verifyAttrs,1741,logical
verifyAttrsC,1670,logical
existAnd,1551,logical
verifyAttrKC,1460,verify
positionVerifyC,1440,verify
positionVerify,1438,verify
verifyAttrK,1427,verify
existAndC,1395,logical
material,1386,query
category,1196,query
existAttrOr,1189,logical
how,1159,query
existAttrOrC,1125,logical
existRelSRC,1118,verify
relVerifyCr,996,verify
verifyAttrC,933,verify
verifyAttr,901,verify
existC,791,verify
exist,791,verify
categoryAttr,779,query
activityWho,761,query
objThisChoose,711,choose
activity,692,query
twoCommon,690,compare
twoSameC,666,compare
twoDifferentC,632,compare
twoDifferent,622,compare
existThatOr,591,logical
twoSame,584,compare
categoryThatChoose,534,choose
existThatOrC,529,logical
categoryRelOChoose,427,choose
materialChoose,373,choose
locationChoose,352,choose
categoryThis,332,query
sameRelate,331,query
locationVerifyC,325,verify
weather,310,query
locationVerify,265,verify
comparativeChoose,226,compare
existAttrNot,210,verify
existThatC,202,verify
existThat,201,verify
existAttr,199,verify
categoryThisChoose,186,choose
existAttrC,183,verify
existAttrNotC,175,verify
placeChoose,173,choose
twoSameMaterialC,161,compare
verifyAttrAnd,152,logical
materialVerify,128,verify
materialVerifyC,122,verify
diffAnimals,108,compare
twoSameMaterial,107,compare
verifyAttrThis,101,verify
verifyAttrCThis,92,verify
diffAnimalsC,88,compare
placeVerify,81,verify
sameAnimals,79,compare
sameAnimalsC,78,compare
weatherVerifyC,75,verify
placeVerifyC,69,verify
weatherVerify,64,verify
sameGender,59,compare
sameGenderC,57,compare
activityChoose,53,choose
sameMaterialRelate,51,query
weatherChoose,31,choose
existMaterialNotC,31,verify
existMaterialNot,28,verify
typeChoose,26,choose
dir,23,query
existMaterialC,21,verify
existMaterial,19,verify
verifyMaterialAnd,18,logical
state,17,query
existThatNot,15,verify
existThatNotC,13,verify
company,10,query
relVerifyCop,6,verify
typeVerify,6,verify
typeVerifyC,4,verify
stateChoose,2,choose
companyVerify,1,verify
